,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2016-04-10,11.879166666666668,67.33333333333333,969.4708333333332,,,,,5.869565217391305,12.608695652173912,11.304347826086955,12.4,10.608333333333334,1029.6,2,994.0999999999999,794.6,679.0,910.5,101,0,0,0,1
2016-04-11,12.8,62.625,972.5666666666666,,,,,13.347826086956522,23.043478260869566,22.782608695652176,18.47083333333333,12.4,1029.9,2,1029.6,994.0999999999999,794.6,679.0,102,0,0,0,0
2016-04-12,13.929166666666667,64.79166666666667,971.2916666666666,,,,,17.391304347826086,26.0,27.65217391304348,21.679166666666664,18.47083333333333,1061.0,2,1029.9,1029.6,994.0999999999999,794.6,103,0,0,0,0
2016-04-13,15.3375,58.125,967.4041666666668,,,,,13.869565217391305,23.95652173913044,23.73913043478261,24.204166666666666,21.679166666666664,910.7,2,1061.0,1029.9,1029.6,994.0999999999999,104,0,0,0,0
2016-04-14,13.158333333333331,57.625,968.9166666666666,,,,,15.173913043478262,29.26086956521739,27.60869565217392,11.0875,24.204166666666666,644.7,1,910.7,1061.0,1029.9,1029.6,105,0,0,0,0
2016-04-15,12.6625,57.375,971.5458333333332,,,,,14.73913043478261,30.30434782608696,27.565217391304348,15.670833333333334,11.0875,770.4,1,644.7,910.7,1061.0,1029.9,106,0,0,0,0
2016-04-16,16.462500000000002,50.208333333333336,968.5083333333332,,,,,5.043478260869565,17.695652173913043,13.434782608695652,13.025,15.670833333333334,990.8,2,770.4,644.7,910.7,1061.0,107,0,0,0,1
2016-04-17,17.425,50.91666666666666,969.2375,,,,,3.565217391304348,13.304347826086955,9.869565217391305,17.545833333333334,13.025,1003.3000000000001,2,990.8,770.4,644.7,910.7,108,0,0,0,1
2016-04-18,11.8375,77.25,976.0833333333334,,,,,17.391304347826086,27.217391304347824,28.17391304347826,15.729166666666666,17.545833333333334,1006.9000000000001,2,1003.3000000000001,990.8,770.4,644.7,109,0,0,0,0
2016-04-19,10.995833333333332,68.25,980.4958333333334,,,,,17.0,22.695652173913043,25.39130434782609,15.616666666666667,15.729166666666666,961.8,2,1006.9000000000001,1003.3000000000001,990.8,770.4,110,0,0,0,0
2016-04-20,11.008333333333333,55.0,984.9333333333334,,,,,21.869565217391305,32.21739130434783,34.52173913043478,20.72083333333333,15.616666666666667,816.0,2,961.8,1006.9000000000001,1003.3000000000001,990.8,111,0,0,0,0
2016-04-21,12.475,53.79166666666666,983.8291666666668,,,,,15.826086956521738,31.52173913043478,29.13043478260869,23.183333333333334,20.72083333333333,623.0,1,816.0,961.8,1006.9000000000001,1003.3000000000001,112,0,0,0,0
2016-04-22,15.1625,56.41666666666666,974.175,,,,,13.869565217391305,28.782608695652176,26.217391304347824,22.72083333333333,23.183333333333334,584.0,1,623.0,816.0,961.8,1006.9000000000001,113,0,0,0,0
2016-04-23,15.2375,55.04166666666666,966.1708333333332,,,,,6.043478260869565,18.869565217391305,14.608695652173912,19.745833333333334,22.72083333333333,981.8,2,584.0,623.0,816.0,961.8,114,0,0,0,1
2016-04-24,9.220833333333331,50.91666666666666,965.7958333333332,,,,,3.0,8.652173913043478,6.956521739130435,9.291666666666666,19.745833333333334,1016.9000000000001,2,981.8,584.0,623.0,816.0,115,0,0,0,1
2016-04-25,6.791666666666667,47.458333333333336,968.575,,,,,10.826086956521738,20.91304347826087,19.52173913043478,11.208333333333334,9.291666666666666,1026.6,2,1016.9000000000001,981.8,584.0,623.0,116,0,0,0,0
2016-04-26,7.558333333333334,55.04166666666666,967.3833333333332,,,,,11.391304347826088,24.043478260869566,21.82608695652174,14.658333333333331,11.208333333333334,1052.6,2,1026.6,1016.9000000000001,981.8,584.0,117,0,0,0,0
2016-04-27,4.1625000000000005,88.95833333333333,969.5791666666668,,,,,13.956521739130435,32.73913043478261,28.26086956521739,10.070833333333333,14.658333333333331,913.9000000000001,2,1052.6,1026.6,1016.9000000000001,981.8,118,0,0,0,0
2016-04-28,3.145833333333333,82.5,977.6083333333332,,,,,20.347826086956523,37.60869565217392,35.869565217391305,19.47083333333333,10.070833333333333,692.9000000000001,1,913.9000000000001,1052.6,1026.6,1016.9000000000001,119,0,0,0,0
2016-04-29,7.475,63.875,979.675,,,,,16.47826086956522,31.47826086956522,29.73913043478261,17.108333333333334,19.47083333333333,815.3,2,692.9000000000001,913.9000000000001,1052.6,1026.6,120,0,0,0,0
2016-04-30,10.395833333333334,62.833333333333336,978.1708333333332,,,,,9.869565217391305,23.347826086956523,20.17391304347826,15.825,17.108333333333334,1017.0,2,815.3,692.9000000000001,913.9000000000001,1052.6,121,0,0,1,1
2016-05-01,10.304166666666667,85.125,975.6375,,,,,4.909090909090909,14.5,11.636363636363637,20.383333333333333,15.825,587.3,1,1017.0,815.3,692.9000000000001,913.9000000000001,122,1,0,0,1
2016-05-02,11.625,86.04166666666667,976.2625,,,,,13.304347826086955,27.869565217391305,25.08695652173913,11.629166666666668,20.383333333333333,997.0999999999999,2,587.3,1017.0,815.3,692.9000000000001,123,0,1,0,0
2016-05-03,13.879166666666665,60.29166666666666,973.9791666666666,,,,,15.652173913043478,21.30434782608696,23.565217391304348,16.412499999999998,11.629166666666668,1023.5999999999999,2,997.0999999999999,587.3,1017.0,815.3,124,0,0,0,0
2016-05-04,13.0125,49.75,978.6,,,,,8.695652173913043,15.26086956521739,14.956521739130435,7.166666666666667,16.412499999999998,899.4000000000001,2,1023.5999999999999,997.0999999999999,587.3,1017.0,125,0,0,1,0
2016-05-05,14.329166666666666,55.0,982.3375,,,,,4.173913043478261,12.173913043478262,9.695652173913045,11.616666666666667,7.166666666666667,649.9,1,899.4000000000001,1023.5999999999999,997.0999999999999,587.3,126,1,0,0,0
2016-05-06,15.783333333333331,60.125,979.2583333333332,,,,,11.652173913043478,25.73913043478261,22.82608695652174,20.17083333333333,11.616666666666667,803.5,2,649.9,899.4000000000001,1023.5999999999999,997.0999999999999,127,0,1,0,0
2016-05-07,15.15,68.08333333333333,975.5375,,,,,7.304347826086956,20.91304347826087,16.869565217391305,18.275,20.17083333333333,731.7,1,803.5,649.9,899.4000000000001,1023.5999999999999,128,0,0,0,1
2016-05-08,14.554166666666667,71.91666666666667,976.525,,,,,3.9565217391304346,12.608695652173912,9.826086956521738,13.35,18.275,706.0,1,731.7,803.5,649.9,899.4000000000001,129,0,0,0,1
2016-05-09,15.641666666666666,68.91666666666667,977.5916666666668,,,,,12.304347826086955,26.60869565217392,23.82608695652174,17.849999999999998,13.35,1033.7,2,706.0,731.7,803.5,649.9,130,0,0,0,0
2016-05-10,13.9375,78.125,975.0541666666668,,,,,17.869565217391305,29.82608695652174,29.95652173913044,26.23333333333333,17.849999999999998,738.1,1,1033.7,706.0,731.7,803.5,131,0,0,0,0
2016-05-11,14.041666666666666,85.83333333333333,970.75,,,,,19.347826086956523,28.13043478260869,30.347826086956523,27.40833333333333,26.23333333333333,802.2,2,738.1,1033.7,706.0,731.7,132,0,0,0,0
2016-05-12,13.6625,93.79166666666669,961.7416666666668,,,,,31.82608695652174,35.95652173913044,44.30434782608695,21.70833333333333,27.40833333333333,652.2,1,802.2,738.1,1033.7,706.0,133,0,0,0,0
2016-05-13,15.145833333333334,75.70833333333333,956.9833333333332,,,,,11.26086956521739,19.39130434782609,19.217391304347824,10.9375,21.70833333333333,777.3,1,652.2,802.2,738.1,1033.7,134,0,0,0,0
2016-05-14,15.241666666666667,68.125,963.3333333333334,,,,,7.043478260869565,19.782608695652176,15.91304347826087,9.9875,10.9375,995.8000000000001,2,777.3,652.2,802.2,738.1,135,0,0,0,1
2016-05-15,12.125,59.875,973.5375,,,,,4.391304347826087,10.869565217391305,9.08695652173913,11.154166666666669,9.9875,1006.3,2,995.8000000000001,777.3,652.2,802.2,136,0,0,1,1
2016-05-16,9.7375,61.125,977.9958333333334,,,,,5.304347826086956,13.521739130434783,11.347826086956522,10.429166666666667,11.154166666666669,967.5,2,1006.3,995.8000000000001,777.3,652.2,137,1,0,0,0
2016-05-17,10.766666666666666,64.25,977.8291666666668,,,,,15.478260869565217,24.695652173913043,25.347826086956523,13.9625,10.429166666666667,955.9,2,967.5,1006.3,995.8000000000001,777.3,138,0,1,0,0
2016-05-18,14.270833333333334,61.625,974.9208333333332,,,,,13.217391304347826,24.17391304347826,23.26086956521739,16.0,13.9625,819.4,2,955.9,967.5,1006.3,995.8000000000001,139,0,0,0,0
2016-05-19,14.254166666666668,70.66666666666667,970.6666666666666,,,,,12.173913043478262,25.17391304347826,22.82608695652174,16.504166666666666,16.0,569.8,1,819.4,955.9,967.5,1006.3,140,0,0,0,0
2016-05-20,15.816666666666665,62.04166666666666,977.5125,,,,,15.869565217391305,26.217391304347824,26.30434782608696,15.275,16.504166666666666,668.5,1,569.8,819.4,955.9,967.5,141,0,0,0,0
