,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-09-01,16.4541666666667,76.7083333333333,968.6,273.75,0.683333333333333,2.78333333333333,12,2.82608695652174,13.8260869565217,9.52173913043478,9.04583333333333,13.025,612.4,1,771.2,890.1,874.8,857.2,245,0,0,0,0
2020-09-02,14.3958333333333,86.9583333333333,974.470833333333,171.833333333333,0.5125,1.725,8,6.86956521739131,17.4347826086957,14.6086956521739,17.425,9.04583333333333,730.1,1,612.4,771.2,890.1,874.8,246,0,0,0,0
2020-09-03,16.95,84.375,979.008333333333,154.833333333333,0.4875,1.825,7,6.56521739130435,17.3478260869565,14.4782608695652,15.7083333333333,17.425,928.9,2,730.1,612.4,771.2,890.1,247,0,0,0,0
2020-09-04,18.6666666666667,75.7916666666667,982.008333333333,175.416666666667,0.391666666666667,1.725,8,7.26086956521739,20.6521739130435,16.5652173913043,19.7916666666667,15.7083333333333,925.7,2,928.9,730.1,612.4,771.2,248,0,0,0,0
2020-09-05,20.5666666666667,81.7083333333333,975.6375,182.958333333333,0.433333333333333,1.575,8,3.82608695652174,14.1739130434783,10.5217391304348,17.4375,19.7916666666667,922,2,925.7,928.9,730.1,612.4,249,0,0,0,1
2020-09-06,19.475,89.4166666666667,973.0625,174.541666666667,0.558333333333333,2.28333333333333,8,1.17391304347826,9.43478260869565,5.95652173913044,12.775,17.4375,928.3,2,922,925.7,928.9,730.1,250,0,0,0,1
2020-09-07,17.8208333333333,86.7916666666667,977.5375,180.875,0.491666666666667,1.75416666666667,8,6,17.5217391304348,13.9565217391304,14.35,12.775,852.4,2,928.3,922,925.7,928.9,251,0,0,0,0
2020-09-08,18.7625,80.375,984.008333333333,190.833333333333,0.45,1.75,8,5.82608695652174,17.1739130434783,13.7391304347826,21.1166666666667,14.35,631.9,1,852.4,928.3,922,925.7,252,0,0,0,0
2020-09-09,19.125,82.8333333333333,980.829166666667,198.75,0.429166666666667,1.72083333333333,9,9.65217391304348,18.3913043478261,17.3913043478261,25.025,21.1166666666667,746.8,1,631.9,852.4,928.3,922,253,0,0,0,0
2020-09-10,20.825,76.9583333333333,976.004166666667,144.125,0.620833333333333,1.96666666666667,6,10.5652173913043,21.9565217391304,20.0869565217391,26.6625,25.025,933.6,2,746.8,631.9,852.4,928.3,254,0,0,0,0
