,temp,rh,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2020-06-08,15.5375,80.5,15.043478260869565,22.08695652173913,23.565217391304348,11.029166666666669,12.183333333333332,948.625,2,1091.125,1089.875,1060.875,1056.5,160,0,0,0,0
2020-06-09,16.462500000000002,80.95833333333333,13.652173913043478,25.347826086956523,24.39130434782609,16.170833333333334,11.029166666666669,780.25,1,948.625,1091.125,1089.875,1060.875,161,0,0,0,0
2020-06-10,15.991666666666667,88.16666666666667,29.347826086956523,33.43478260869565,41.08695652173913,18.3375,16.170833333333334,677.125,1,780.25,948.625,1091.125,1089.875,162,0,0,1,0
2020-06-11,17.954166666666666,66.04166666666667,7.173913043478261,15.91304347826087,14.0,10.225,18.3375,1045.25,2,677.125,780.25,948.625,1091.125,163,1,0,0,0
2020-06-12,21.46666666666667,54.125,15.91304347826087,28.217391304347824,27.565217391304348,16.754166666666666,10.225,1059.625,2,1045.25,677.125,780.25,948.625,164,0,1,0,0
2020-06-13,23.65,52.54166666666666,6.826086956521739,24.39130434782609,18.30434782608696,13.779166666666669,16.754166666666666,1061.625,2,1059.625,1045.25,677.125,780.25,165,0,0,0,1
2020-06-14,20.55,72.5,4.3478260869565215,17.52173913043478,12.695652173913045,15.433333333333332,13.779166666666669,1097.125,2,1061.625,1059.625,1045.25,677.125,166,0,0,0,1
2020-06-15,16.970833333333335,87.66666666666667,14.476190476190476,22.95238095238096,23.571428571428573,7.3125,15.433333333333332,996.25,2,1097.125,1061.625,1059.625,1045.25,167,0,0,0,0
2020-06-16,20.4625,61.79166666666666,14.652173913043478,29.52173913043478,27.30434782608696,17.7375,7.3125,792.0,1,996.25,1097.125,1061.625,1059.625,168,0,0,0,0
2020-06-17,21.058333333333334,65.29166666666667,13.304347826086955,28.30434782608696,25.30434782608696,18.375,17.7375,885.625,2,792.0,996.25,1097.125,1061.625,169,0,0,0,0
2020-06-18,20.7125,63.16666666666666,11.91304347826087,23.39130434782609,21.95652173913044,12.220833333333331,18.375,1053.5,2,885.625,792.0,996.25,1097.125,170,0,0,0,0
2020-06-19,20.183333333333334,63.0,17.608695652173914,27.82608695652174,28.52173913043478,13.5875,12.220833333333331,1073.0,2,1053.5,885.625,792.0,996.25,171,0,0,0,0
2020-06-20,17.354166666666668,70.375,7.478260869565218,17.608695652173914,15.0,7.545833333333333,13.5875,830.125,2,1073.0,1053.5,885.625,792.0,172,0,0,0,1
2020-06-21,17.308333333333334,66.375,3.8260869565217392,12.173913043478262,9.521739130434783,10.0875,7.545833333333333,1001.625,2,830.125,1073.0,1053.5,885.625,173,0,0,0,1
2020-06-22,23.316666666666663,41.79166666666666,10.0,20.39130434782609,18.65217391304348,16.0,10.0875,936.125,2,1001.625,830.125,1073.0,1053.5,174,0,0,0,0
2020-06-23,23.166666666666668,44.5,16.26086956521739,33.56521739130435,30.73913043478261,20.769565217391303,16.0,775.875,1,936.125,1001.625,830.125,1073.0,175,0,0,0,0
2020-06-24,19.325,64.16666666666667,15.0,33.21739130434783,29.217391304347824,20.9,20.769565217391303,864.375,2,775.875,936.125,1001.625,830.125,176,0,0,0,0
2020-06-25,15.841666666666669,86.25,13.347826086956522,32.47826086956522,27.782608695652176,13.5,20.9,987.75,2,864.375,775.875,936.125,1001.625,177,0,0,0,0
2020-06-26,20.0375,76.58333333333333,14.347826086956522,27.08695652173913,25.73913043478261,17.754166666666666,13.5,1049.0,2,987.75,864.375,775.875,936.125,178,0,0,0,0
2020-06-27,24.3625,65.41666666666667,10.521739130434783,23.08695652173913,20.39130434782609,18.529166666666665,17.754166666666666,1060.25,2,1049.0,987.75,864.375,775.875,179,0,0,0,1
2020-06-28,25.05,66.41666666666667,4.478260869565218,16.73913043478261,12.391304347826088,14.841666666666669,18.529166666666665,1105.625,2,1060.25,1049.0,987.75,864.375,180,0,0,0,1
2020-06-29,19.65833333333333,86.04166666666667,20.08695652173913,27.73913043478261,30.565217391304348,16.079166666666666,14.841666666666669,1008.375,2,1105.625,1060.25,1049.0,987.75,181,0,0,0,0
2020-06-30,20.34583333333333,71.16666666666667,20.869565217391305,24.565217391304348,29.782608695652176,15.858333333333334,16.079166666666666,816.625,2,1008.375,1105.625,1060.25,1049.0,182,0,0,0,0
2020-07-01,22.5,73.875,16.130434782608695,29.43478260869565,28.217391304347824,19.041666666666668,15.858333333333334,912.75,2,816.625,1008.375,1105.625,1060.25,183,0,0,0,0
2020-07-02,22.84166666666667,67.70833333333333,22.82608695652174,29.95652173913044,34.04347826086956,15.308333333333332,19.041666666666668,1102.5,2,912.75,816.625,1008.375,1105.625,184,0,0,0,0
