,temp,rh,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2021-05-02,13.604166666666666,59.16666666666666,296.6666666666667,1.1083333333333334,4.55,13.0,0.4347826086956521,6.086956521739131,3.608695652173913,9.275,14.583333333333334,1686.5,3,1195.0,1703.5,1492.5,1394.0,122,0,1,0,1
2021-05-03,11.125,53.083333333333336,208.54166666666663,0.6666666666666666,2.583333333333333,9.0,1.608695652173913,14.565217391304348,8.782608695652174,11.375,9.275,1713.5,3,1686.5,1195.0,1703.5,1492.5,123,0,0,0,0
2021-05-04,12.6125,55.54166666666666,181.54166666666663,0.8958333333333334,3.2291666666666665,8.0,4.652173913043479,18.565217391304348,13.391304347826088,16.841666666666665,11.375,1588.0,3,1713.5,1686.5,1195.0,1703.5,124,0,0,0,0
2021-05-05,13.920833333333334,53.79166666666666,198.4583333333333,1.1916666666666669,4.691666666666666,9.0,2.608695652173913,18.26086956521739,11.73913043478261,17.466666666666665,16.841666666666665,1369.0,2,1588.0,1713.5,1686.5,1195.0,125,0,0,0,0
2021-05-06,9.1,71.5,174.95833333333334,0.7458333333333332,2.725,8.0,1.0,11.73913043478261,6.956521739130435,10.566666666666666,17.466666666666665,1472.0,2,1369.0,1588.0,1713.5,1686.5,126,0,0,0,0
2021-05-07,8.479166666666666,85.08333333333333,229.29166666666663,0.4291666666666667,1.995833333333333,10.0,5.478260869565218,21.043478260869566,15.26086956521739,12.208333333333334,10.566666666666666,1251.5,2,1472.0,1369.0,1588.0,1713.5,127,0,0,0,0
2021-05-08,10.025,61.29166666666666,173.95833333333334,0.725,2.845833333333333,8.0,2.8260869565217392,13.695652173913045,9.130434782608695,12.158333333333331,12.208333333333334,1122.5,2,1251.5,1472.0,1369.0,1588.0,128,0,0,0,1
2021-05-09,14.895833333333334,56.75,164.91666666666666,0.6458333333333334,2.5166666666666666,7.0,1.2173913043478262,12.782608695652174,7.695652173913044,12.175,12.158333333333331,1773.0,3,1122.5,1251.5,1472.0,1369.0,129,0,0,0,1
2021-05-10,19.229166666666668,54.25,139.20833333333334,0.7374999999999999,2.6125000000000003,6.0,3.217391304347826,19.43478260869565,12.782608695652174,20.65,12.175,1272.0,2,1773.0,1122.5,1251.5,1472.0,130,0,0,0,0
2021-05-11,20.7125,52.125,211.0,0.9375,3.4791666666666665,9.0,2.391304347826087,16.695652173913043,10.695652173913045,24.8625,20.65,1518.5,3,1272.0,1773.0,1122.5,1251.5,131,0,0,0,0
2021-05-12,14.833333333333334,77.5,230.8333333333333,1.0375,4.120833333333334,10.0,1.4782608695652173,11.043478260869565,6.956521739130435,12.5625,24.8625,1335.5,2,1518.5,1272.0,1773.0,1122.5,132,0,0,1,0
2021-05-13,13.495833333333332,63.375,299.2083333333333,0.7583333333333333,2.858333333333333,13.0,0.8695652173913043,9.217391304347826,5.391304347826087,5.016666666666667,12.5625,1512.0,3,1335.5,1518.5,1272.0,1773.0,133,1,0,0,0
2021-05-14,14.6625,56.625,188.4583333333333,0.625,2.2625,8.0,1.6956521739130437,12.652173913043478,7.956521739130435,8.137500000000001,5.016666666666667,1696.5,3,1512.0,1335.5,1518.5,1272.0,134,0,1,0,0
2021-05-15,13.845833333333331,75.125,235.79166666666663,0.5291666666666667,2.075,10.0,0.9130434782608696,9.826086956521738,5.826086956521739,7.6,8.137500000000001,1701.5,3,1696.5,1512.0,1335.5,1518.5,135,0,0,0,1
2021-05-16,14.116666666666667,71.79166666666667,211.5,0.6,2.4291666666666667,9.0,1.2173913043478262,7.217391304347826,4.826086956521739,7.695833333333333,7.6,1683.5,3,1701.5,1696.5,1512.0,1335.5,136,0,0,0,1
